model,path,accuracy_at_1,accuracy_at_5,mrr,avg_similarity,not_found,total_queries,avg_query_time,dimension
sapbert-umls/model-0_0000,models\sapbert-umls\model-0_0000,0.7083333333333334,0.7916666666666666,0.7378472222222222,55.22901,10,48,0.005651185909907023,768
sapbert-umls/model-0_0009,models\sapbert-umls\model-0_0009,0.7083333333333334,0.7916666666666666,0.7430555555555555,55.501587,10,48,0.005412861704826355,768
sapbert-umls/model-0_0001,models\sapbert-umls\model-0_0001,0.7083333333333334,0.7916666666666666,0.7395833333333334,56.17197,10,48,0.0051511675119400024,768
sapbert-umls/model-0_0000_1,models\sapbert-umls\model-0_0000_1,0.7083333333333334,0.7916666666666666,0.7378472222222222,55.299637,10,48,0.004999558130900065,768
sapbert-umls/model-0_0183,models\sapbert-umls\model-0_0183,0.7083333333333334,0.8125,0.7430555555555555,53.700203,9,48,0.00512865682442983,768
sapbert-umls/model-0_0002,models\sapbert-umls\model-0_0002,0.6875,0.7916666666666666,0.7291666666666666,56.081253,10,48,0.004939074317614238,768
pubmedbert-marco/model-0_3372,models\pubmedbert-marco\model-0_3372,0.6666666666666666,0.7916666666666666,0.704513888888889,47.330864,10,48,0.005227108796437581,768
sapbert-umls/model-0_0029,models\sapbert-umls\model-0_0029,0.6666666666666666,0.7916666666666666,0.71875,56.000572,10,48,0.005131473143895467,768
all-mini-fine/model-0_0000,models\all-mini-fine\model-0_0000,0.6666666666666666,0.6666666666666666,0.6666666666666666,55.67173,16,48,0.003610461950302124,384
all-mini-fine/model-0_0072,models\all-mini-fine\model-0_0072,0.6458333333333334,0.7083333333333334,0.6666666666666666,49.266895,14,48,0.0032073954741160073,384
sapbert-umls/model-0_0853,models\sapbert-umls\model-0_0853,0.6458333333333334,0.8125,0.6940972222222223,52.755013,9,48,0.004995440443356832,768
all-mini-fine/model-0_0001,models\all-mini-fine\model-0_0001,0.6041666666666666,0.6666666666666666,0.626736111111111,54.219376,16,48,0.004259616136550903,384
sapbert-umls/model-0_2688,models\sapbert-umls\model-0_2688,0.6041666666666666,0.7083333333333334,0.634375,52.492096,14,48,0.005078067382176717,768
paraphrase-agressive/model-0_0113,models\paraphrase-agressive\model-0_0113,0.5833333333333334,0.6875,0.6170138888888889,66.35557,15,48,0.005349278450012207,384
sapbert-pubmed/model-0_0005,models\sapbert-pubmed\model-0_0005,0.5833333333333334,0.625,0.5927083333333333,59.41999,18,48,0.005172734459241231,768
all-mini-fine/model-0_0174,models\all-mini-fine\model-0_0174,0.5833333333333334,0.6875,0.6222222222222222,49.09749,15,48,0.0037211477756500244,384
pubmedbert-marco/model-0_0434,models\pubmedbert-marco\model-0_0434,0.5833333333333334,0.7083333333333334,0.6173611111111111,53.723854,14,48,0.004940842588742574,768
medcpt/model-0_0589,models\medcpt\model-0_0589,0.5625,0.75,0.6465277777777778,68.32159,12,48,0.005773574113845825,768
pubmedbert-marco/model-0_0000_1,models\pubmedbert-marco\model-0_0000_1,0.5625,0.625,0.5840277777777778,56.384346,18,48,0.004856203993161519,768
pubmedbert-marco/model-0_0006,models\pubmedbert-marco\model-0_0006,0.5625,0.625,0.5840277777777778,56.384346,18,48,0.004907935857772827,768
all-mini-fine/model-0_0438,models\all-mini-fine\model-0_0438,0.5625,0.7083333333333334,0.6256944444444444,46.286476,14,48,0.003200352191925049,384
pubmedbert-marco/model-0_0071,models\pubmedbert-marco\model-0_0071,0.5625,0.625,0.5885416666666666,57.467106,18,48,0.005773201584815979,768
medcpt/model-0_0289,models\medcpt\model-0_0289,0.5625,0.75,0.6378472222222222,67.82638,12,48,0.006215626994768779,768
pubmedbert-marco/model-0_0007,models\pubmedbert-marco\model-0_0007,0.5625,0.625,0.5840277777777778,56.424397,18,48,0.0049856652816136675,768
medcpt/model-0_0177,models\medcpt\model-0_0177,0.5625,0.7291666666666666,0.6326388888888889,68.11887,13,48,0.006021812558174133,768
medcpt/model-0_0366,models\medcpt\model-0_0366,0.5625,0.75,0.6430555555555556,67.97166,12,48,0.00587955117225647,768
medcpt/model-0_0203,models\medcpt\model-0_0203,0.5625,0.75,0.6368055555555555,67.68875,12,48,0.005766029159228007,768
medcpt/model-0_0147,models\medcpt\model-0_0147,0.5625,0.75,0.6368055555555555,67.595535,12,48,0.005264098445574443,768
medcpt/model-0_0833,models\medcpt\model-0_0833,0.5625,0.75,0.6326388888888889,68.403534,12,48,0.005176742871602376,768
medcpt/model-0_0000_1,models\medcpt\model-0_0000_1,0.5625,0.75,0.6368055555555555,67.595535,12,48,0.005353137850761414,768
pubmedbert-marco/model-0_1304,models\pubmedbert-marco\model-0_1304,0.5625,0.7708333333333334,0.6350694444444445,52.52805,11,48,0.005943601330121358,768
sapbert-umls/model-0_4735,models\sapbert-umls\model-0_4735,0.5625,0.7916666666666666,0.6534722222222222,58.68562,10,48,0.005077640215555827,768
pubmedbert-marco/model-0_0020,models\pubmedbert-marco\model-0_0020,0.5625,0.625,0.5868055555555556,56.45225,18,48,0.005776132146517436,768
pubmedbert-marco/model-0_0019,models\pubmedbert-marco\model-0_0019,0.5625,0.625,0.5840277777777778,56.477608,18,48,0.005939861138661702,768
sapbert-pubmed/model-0_0000_1,models\sapbert-pubmed\model-0_0000_1,0.5416666666666666,0.6458333333333334,0.5663194444444445,54.816174,17,48,0.005201612909634908,768
sapbert-pubmed/model-0_0034,models\sapbert-pubmed\model-0_0034,0.5416666666666666,0.5625,0.5520833333333334,59.11866,21,48,0.005562290549278259,768
