
====================================================================================================
REPORTE FINAL - COMPARACIÓN DE MODELOS
====================================================================================================

📊 MODELO BASE: all-MiniLM-base
   • Accuracy@1: 33.3%
   • Accuracy@5: 52.1%
   • MRR: 0.406
   • Similitud promedio: 54.6%
   • Velocidad: 0.0036s/query

====================================================================================================
📊 RANKING COMPLETO DE MODELOS (ordenados por Accuracy@1)
====================================================================================================

#    Modelo                              Acc@1      vs Base      Acc@5      MRR      Sim Avg    Vel (s)   
----------------------------------------------------------------------------------------------------
🟢 1  sapbert-umls/model-0_0029           64.6%      +31.3 pp     77.1%      0.692    51.5       0.0059    
🟢 2  biomedical-roberta/model-0_0007     62.5%      +29.2 pp     66.7%      0.642    56.8       0.0055    
🟢 3  sapbert-umls/model-0_0001           62.5%      +29.2 pp     75.0%      0.674    52.1       0.0055    
🟢 4  sapbert-umls/model-0_0009           62.5%      +29.2 pp     75.0%      0.678    51.5       0.0050    
🟢 5  sapbert-umls/model-0_0183           62.5%      +29.2 pp     77.1%      0.677    51.3       0.0052    
🟢 6  sapbert-umls/model-0_0853           62.5%      +29.2 pp     81.2%      0.685    48.7       0.0049    
🟢 7  biomedical-agressive/model-0_1000   60.4%      +27.1 pp     68.8%      0.639    53.5       0.0049    
🟢 8  biomedical-roberta/model-0_0000     60.4%      +27.1 pp     68.8%      0.630    59.5       0.0050    
🟢 9  biomedical-roberta/model-0_0000_1   60.4%      +27.1 pp     68.8%      0.626    55.4       0.0047    
🟢 10 biomedical-roberta/model-0_0001     60.4%      +27.1 pp     68.8%      0.630    59.5       0.0048    
🟢 11 sapbert-umls/model-0_0000_1         60.4%      +27.1 pp     72.9%      0.660    52.1       0.0053    
🟢 12 sapbert-umls/model-0_2688           60.4%      +27.1 pp     79.2%      0.670    48.7       0.0052    
🟢 13 sapbert-umls/model-0_4735           60.4%      +27.1 pp     79.2%      0.678    58.0       0.0055    
🟢 14 pubmedbert-marco/model-0_1304       58.3%      +25.0 pp     75.0%      0.626    57.1       0.0047    
🟢 15 sapbert-umls/model-0_0000           58.3%      +25.0 pp     72.9%      0.651    52.0       0.0058    
🟢 16 sapbert-umls/model-0_0002           58.3%      +25.0 pp     75.0%      0.650    52.1       0.0051    
🟢 17 all-mini-fine/model-0_0000          56.2%      +22.9 pp     60.4%      0.583    58.0       0.0031    
🟢 18 all-mini-fine/model-0_0004          56.2%      +22.9 pp     60.4%      0.576    52.2       0.0032    
🟢 19 all-mini-fine/model-0_0016          56.2%      +22.9 pp     58.3%      0.568    54.5       0.0031    
🟢 20 pubmedbert-marco/model-0_0071       56.2%      +22.9 pp     60.4%      0.574    63.6       0.0055    
🟢 21 all-mini-fine/model-0_0021          54.2%      +20.8 pp     62.5%      0.565    51.6       0.0031    
🟢 22 all-mini-fine/model-0_0072          54.2%      +20.8 pp     60.4%      0.567    54.1       0.0037    
🟢 23 all-mini-fine/model-0_0174          54.2%      +20.8 pp     60.4%      0.560    53.2       0.0033    
🟢 24 biomedical-roberta/model-0_0035     54.2%      +20.8 pp     66.7%      0.590    58.8       0.0049    
🟢 25 pubmedbert-marco/model-0_0000_1     54.2%      +20.8 pp     58.3%      0.556    64.1       0.0053    
🟢 26 pubmedbert-marco/model-0_0006       54.2%      +20.8 pp     58.3%      0.556    64.1       0.0050    
🟢 27 pubmedbert-marco/model-0_0007       54.2%      +20.8 pp     56.2%      0.552    65.4       0.0049    
🟢 28 pubmedbert-marco/model-0_0019       54.2%      +20.8 pp     58.3%      0.556    64.2       0.0058    
🟢 29 pubmedbert-marco/model-0_0020       54.2%      +20.8 pp     58.3%      0.557    64.4       0.0054    
🟢 30 pubmedbert-marco/model-0_0035       54.2%      +20.8 pp     62.5%      0.568    62.1       0.0055    
🟢 31 pubmedbert-marco/model-0_0434       54.2%      +20.8 pp     64.6%      0.566    61.3       0.0059    
🟢 32 pubmedbert-marco/model-0_3372       54.2%      +20.8 pp     72.9%      0.612    52.3       0.0053    
🟢 33 all-mini-fine/model-0_0001          52.1%      +18.8 pp     60.4%      0.562    56.4       0.0032    
🟢 34 all-mini-fine/model-0_0438          52.1%      +18.8 pp     62.5%      0.556    50.9       0.0031    
🟢 35 medcpt/model-0_0000_1               52.1%      +18.8 pp     62.5%      0.554    68.4       0.0053    
🟢 36 medcpt/model-0_0147                 52.1%      +18.8 pp     62.5%      0.554    68.4       0.0051    
🟢 37 medcpt/model-0_0177                 52.1%      +18.8 pp     62.5%      0.554    68.3       0.0054    
