model,path,accuracy_at_1,accuracy_at_5,mrr,avg_similarity,not_found,total_queries,avg_query_time,dimension
sapbert-umls/model-0_0029,models\sapbert-umls\model-0_0029,0.6458333333333334,0.7708333333333334,0.6916666666666668,51.504063,11,48,0.005925913651784261,768
sapbert-umls/model-0_0853,models\sapbert-umls\model-0_0853,0.625,0.8125,0.6850694444444444,48.651207,9,48,0.004893397291501363,768
sapbert-umls/model-0_0001,models\sapbert-umls\model-0_0001,0.625,0.75,0.6743055555555556,52.099308,12,48,0.005524744590123494,768
sapbert-umls/model-0_0183,models\sapbert-umls\model-0_0183,0.625,0.7708333333333334,0.6767361111111111,51.254498,11,48,0.005166823665301005,768
biomedical-roberta/model-0_0007,models\biomedical-roberta\model-0_0007,0.625,0.6666666666666666,0.642361111111111,56.80557,16,48,0.005469262599945068,768
sapbert-umls/model-0_0009,models\sapbert-umls\model-0_0009,0.625,0.75,0.6777777777777777,51.45839,12,48,0.004963671167691548,768
biomedical-agressive/model-0_1000,models\biomedical-agressive\model-0_1000,0.6041666666666666,0.6875,0.638888888888889,53.453102,15,48,0.004920452833175659,768
biomedical-roberta/model-0_0000_1,models\biomedical-roberta\model-0_0000_1,0.6041666666666666,0.6875,0.6263888888888889,55.43315,15,48,0.004728436470031738,768
sapbert-umls/model-0_0000_1,models\sapbert-umls\model-0_0000_1,0.6041666666666666,0.7291666666666666,0.6597222222222222,52.149677,13,48,0.005279933412869771,768
biomedical-roberta/model-0_0001,models\biomedical-roberta\model-0_0001,0.6041666666666666,0.6875,0.6298611111111111,59.49192,15,48,0.00476845105489095,768
biomedical-roberta/model-0_0000,models\biomedical-roberta\model-0_0000,0.6041666666666666,0.6875,0.6298611111111111,59.479378,15,48,0.004980991284052531,768
sapbert-umls/model-0_4735,models\sapbert-umls\model-0_4735,0.6041666666666666,0.7916666666666666,0.6777777777777777,57.95719,10,48,0.00551973283290863,768
sapbert-umls/model-0_2688,models\sapbert-umls\model-0_2688,0.6041666666666666,0.7916666666666666,0.6697916666666667,48.674812,10,48,0.005221794048945109,768
sapbert-umls/model-0_0002,models\sapbert-umls\model-0_0002,0.5833333333333334,0.75,0.65,52.082287,12,48,0.005080749591191609,768
pubmedbert-marco/model-0_1304,models\pubmedbert-marco\model-0_1304,0.5833333333333334,0.75,0.6260416666666667,57.068867,12,48,0.004703988631566365,768
sapbert-umls/model-0_0000,models\sapbert-umls\model-0_0000,0.5833333333333334,0.7291666666666666,0.6510416666666666,51.971905,13,48,0.005798324942588806,768
all-mini-fine/model-0_0000,models\all-mini-fine\model-0_0000,0.5625,0.6041666666666666,0.5833333333333334,57.983913,19,48,0.003092363476753235,384
all-mini-fine/model-0_0004,models\all-mini-fine\model-0_0004,0.5625,0.6041666666666666,0.576388888888889,52.179893,19,48,0.003155599037806193,384
all-mini-fine/model-0_0016,models\all-mini-fine\model-0_0016,0.5625,0.5833333333333334,0.5677083333333334,54.503193,20,48,0.003125275174776713,384
pubmedbert-marco/model-0_0071,models\pubmedbert-marco\model-0_0071,0.5625,0.6041666666666666,0.5736111111111112,63.602833,19,48,0.005526224772135417,768
all-mini-fine/model-0_0174,models\all-mini-fine\model-0_0174,0.5416666666666666,0.6041666666666666,0.5604166666666667,53.226982,19,48,0.0033063391844431558,384
all-mini-fine/model-0_0021,models\all-mini-fine\model-0_0021,0.5416666666666666,0.625,0.5649305555555556,51.641605,18,48,0.0031085312366485596,384
pubmedbert-marco/model-0_0019,models\pubmedbert-marco\model-0_0019,0.5416666666666666,0.5833333333333334,0.55625,64.24707,20,48,0.00577905277411143,768
pubmedbert-marco/model-0_0007,models\pubmedbert-marco\model-0_0007,0.5416666666666666,0.5625,0.5520833333333334,65.379585,21,48,0.00494617223739624,768
biomedical-roberta/model-0_0035,models\biomedical-roberta\model-0_0035,0.5416666666666666,0.6666666666666666,0.5902777777777778,58.757355,16,48,0.004873067140579224,768
pubmedbert-marco/model-0_0020,models\pubmedbert-marco\model-0_0020,0.5416666666666666,0.5833333333333334,0.5572916666666666,64.44423,20,48,0.0054033249616622925,768
pubmedbert-marco/model-0_3372,models\pubmedbert-marco\model-0_3372,0.5416666666666666,0.7291666666666666,0.6118055555555556,52.27113,13,48,0.005328307549158732,768
pubmedbert-marco/model-0_0434,models\pubmedbert-marco\model-0_0434,0.5416666666666666,0.6458333333333334,0.5663194444444445,61.322872,17,48,0.005859245856602986,768
