Query,Expected_Doc,Top1_Correct,Top5_Correct,Expected_Rank,Search_Time,Top1_Doc,Top1_Score
Cómo alto a un paciente paliativo con hospitalización a domicilio?,Abordatge del pacient en situacio de final de vida ingressat al Dispositiu dHospitalitzacio a Domicili HDOM_limpio.txt,True,True,1,3.2233,Abordatge del pacient en situacio de final de vida ingressat al Dispositiu dHospitalitzacio a Domicili HDOM_limpio,0.1381
Quien gestiona el ingreso al centro de atención intermedia en situación de final de vida?,Abordatge del pacient en situacio de final de vida ingressat al Dispositiu dHospitalitzacio a Domicili HDOM_limpio.txt,False,False,83,3.5194,Acces a lassistencia sanitaria per a convenis internacionals i prestacions de caracter excepcional CASCIPE_limpio,0.1225
Que escalas debo pasar en la valoración integral de una paciente con patología oncológica ginecologi,Abordatge integral de la dona amb cancer ginecologic en tractament sistemic_limpio.txt,False,True,2,3.8978,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio,0.1158
A quien debo hacer interconsulta en caso de paciente de onco gine?,Abordatge integral de la dona amb cancer ginecologic en tractament sistemic_limpio.txt,True,True,1,3.4095,Abordatge integral de la dona amb cancer ginecologic en tractament sistemic_limpio,0.1293
"Quien debe aprobar que se de una prestación fuera del siscat, de carácter excepcional?",Acces a lassistencia sanitaria per a convenis internacionals i prestacions de caracter excepcional CASCIPE_limpio.txt,False,False,45,3.4996,Administracio segura de ferroterapia intravenosa al domicili_limpio,0.0999
Dame el link de acceso al CASCIPE,Acces a lassistencia sanitaria per a convenis internacionals i prestacions de caracter excepcional CASCIPE_limpio.txt,False,False,85,2.9581,Abordatge del pacient en situacio de final de vida ingressat al Dispositiu dHospitalitzacio a Domicili HDOM_limpio,0.1276
Quien realiza la acogida en situación de pandemia?,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio.txt,True,True,1,2.9716,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio,0.1635
Que variables clínicas se cogen en caso de acogida de paciente en pandemia?,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio.txt,False,True,3,3.3876,Actuacio en situacions demergencia obstetrica seu Maternitat circuit de trucades interdisciplinars davis_limpio,0.1179
Con quien debo coordinar la medicación a administrar cuando un paciente entra en el CDI?,Acollida i atencio integral al pacient en el CDI_limpio.txt,False,False,81,3.5751,Administracio de medicaments Via intravenosa_limpio,0.1199
"En paciente con DAI en radiología, hay que llevar el desfribilador?",Acollida i atencio integral al pacient en el CDI_limpio.txt,False,False,26,3.3826,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio,0.1183
Que debo hacer en una crisis tonico-clónica?,Actuacio davant una crisi epileptica generalitzada tonicoclonica a la unitat depilepsia_limpio.txt,False,False,26,3.0049,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio,0.1176
Cuanto tiempo debe estar monitorizado tras una crisis tonico-clónica?,Actuacio davant una crisi epileptica generalitzada tonicoclonica a la unitat depilepsia_limpio.txt,False,False,61,3.1708,Administracio de medicaments Via inhalatoria amb cartutx pressuritzat_limpio,0.1182
Busca de la matrona senior de la mater,Actuacio en situacions demergencia obstetrica seu Maternitat circuit de trucades interdisciplinars davis_limpio.txt,False,False,6,2.8116,Alta infermeria_limpio,0.1296
Cual es el número de emergencia en la sede de maternidad?,Actuacio en situacions demergencia obstetrica seu Maternitat circuit de trucades interdisciplinars davis_limpio.txt,True,True,1,3.1083,Actuacio en situacions demergencia obstetrica seu Maternitat circuit de trucades interdisciplinars davis_limpio,0.1245
Que puedo hacer para favorecer el descanso nocturno de un paciente?,Adequacio de lentorn a la unitat per afavorir el descans nocturn del pacient_limpio.txt,False,False,41,3.1458,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio,0.1201
Se puede quedar un familiar por la noche?,Adequacio de lentorn a la unitat per afavorir el descans nocturn del pacient_limpio.txt,True,True,1,2.8585,Adequacio de lentorn a la unitat per afavorir el descans nocturn del pacient_limpio,0.1221
Que puedo nebulizar de antibiótico?,Administracio dantibiotics via inhalatoria_limpio.txt,False,False,16,2.9073,Abordatge integral de la dona amb cancer ginecologic en tractament sistemic_limpio,0.1409
Como nubulizo un atb en un paciente con canula de plata?,Administracio dantibiotics via inhalatoria_limpio.txt,False,False,26,3.1288,Administracio de medicaments Via inhalatoria_limpio,0.1215
Número de busca del equipo de HDOM,Administracio de Levosimendan a lHospitalitzacio a domicili HDOM_limpio.txt,False,False,48,2.7889,Administracio de medicaments Via intradermica_limpio,0.1188
A que temperatura se debe guardar el levosimendam?,Administracio de Levosimendan a lHospitalitzacio a domicili HDOM_limpio.txt,False,False,23,2.9890,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio,0.1200
Cuando debería usar cámara espaciadora para nebulizar?,Administracio de medicaments Via Inhalatoria Pols seca_limpio.txt,False,True,4,2.9736,Administracio de medicaments Via inhalatoria_limpio,0.1379
Como se debe colocar la lengua en la nebulización de medicación?,Administracio de medicaments Via Inhalatoria Pols seca_limpio.txt,False,False,8,3.0862,Administracio de medicaments Via inhalatoria_limpio,0.1381
Que medicamentos se nebulizan en forma de polvo seco?,Administracio de medicaments Via inhalatoria amb cartutx pressuritzat_limpio.txt,False,False,12,3.0398,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio,0.1181
Como se utiliza la nebulización en forma de polvo seco en monodosis?,Administracio de medicaments Via inhalatoria amb cartutx pressuritzat_limpio.txt,False,False,16,3.3284,Administracio de medicaments Via Inhalatoria Pols seca_limpio,0.1223
A cuantos litros se debe poner el aire en la nebulización de medicación?,Administracio de medicaments Via inhalatoria_limpio.txt,True,True,1,3.4002,Administracio de medicaments Via inhalatoria_limpio,0.1299
Nebulizo la medicación con oxigeno o con aire?,Administracio de medicaments Via inhalatoria_limpio.txt,True,True,1,2.9175,Administracio de medicaments Via inhalatoria_limpio,0.1247
Que podemos administrar por vía  intradérmica?,Administracio de medicaments Via intradermica_limpio.txt,False,True,4,3.0069,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio,0.1196
Como se que he administrado un fármaco intradérmico de forma correcta?,Administracio de medicaments Via intradermica_limpio.txt,False,False,15,3.4302,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio,0.1213
Como cargo medicación para administración intramuscular?,Administracio de medicaments Via intramuscular_limpio.txt,False,False,82,2.8445,Aplicacio de la tecnica terapeutica magnetoterapia_limpio,0.1247
Que volumen máximo puedo administrar de forma intramuscular?,Administracio de medicaments Via intramuscular_limpio.txt,False,False,55,3.0872,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio,0.1175
Como se administra un fármaco en bolus?,Administracio de medicaments Via intravenosa_limpio.txt,True,True,1,2.9324,Administracio de medicaments Via intravenosa_limpio,0.1191
Donde preparo la medicación iv de un paciente domiciliario?,Administracio de medicaments Via intravenosa_limpio.txt,True,True,1,3.0179,Administracio de medicaments Via intravenosa_limpio,0.1308
Que tipos de medicación via oftálmica hay?,Administracio de medicaments Via oftalmica_limpio.txt,False,False,16,2.9814,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio,0.1227
Durante cuanto tiempo puedo guardar un colirio para reutilizarlo?,Administracio de medicaments Via oftalmica_limpio.txt,False,False,84,3.1568,Adequacio de lentorn a la unitat per afavorir el descans nocturn del pacient_limpio,0.1233
Como se si un fármaco está en buen estado?,Administracio de medicaments Via oral_limpio.txt,False,False,37,3.1084,Administracio de medicaments Via intramuscular_limpio,0.1220
Como administro un fármaco via oral en un paciente con disfagia?,Administracio de medicaments Via oral_limpio.txt,False,False,83,3.3177,Alta infermeria_limpio,0.1223
Como identifico una pluma de insulina de un paciente?,Administracio dinsulina Via subcutania_limpio.txt,False,False,82,2.9701,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio,0.1249
Efectos secundarios de la insulina,Administracio dinsulina Via subcutania_limpio.txt,False,False,83,2.7250,Actuacio davant una crisi epileptica generalitzada tonicoclonica a la unitat depilepsia_limpio,0.1319
En cuanto puedo diluir el ferinject?,Administracio segura de ferroterapia intravenosa al domicili_limpio.txt,False,True,5,2.8247,Administracio de medicaments Via intravenosa_limpio,0.1245
Cuales son los efectos secundarios más importantes del hierro iv?,Administracio segura de ferroterapia intravenosa al domicili_limpio.txt,True,True,1,3.1701,Administracio segura de ferroterapia intravenosa al domicili_limpio,0.1222
Que debo hacer en caso de tener un paciente en aislamiento social no deseado?,Aillament social solitud_limpio.txt,False,False,62,3.4575,Actuacio en situacions demergencia obstetrica seu Maternitat circuit de trucades interdisciplinars davis_limpio,0.1162
A quien se interconsulta si tengo un paciente aislado?,Aillament social solitud_limpio.txt,True,True,1,3.0339,Aillament social solitud_limpio,0.1217
La rivabirina necesita receta de prosereme?,Alta del pacient trasplantat hepatic_limpio.txt,False,False,79,3.0465,Administracio de Levosimendan a lHospitalitzacio a domicili HDOM_limpio,0.1231
Consideraciones al pautar pentamidina,Alta del pacient trasplantat hepatic_limpio.txt,False,False,59,2.9772,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio,0.1294
Que debo revisar al alta de un paciente de enfermería,Alta infermeria_limpio.txt,False,False,30,3.7265,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio,0.1203
Que puedo prescribir como enfermera al alta?,Alta infermeria_limpio.txt,False,False,29,3.6225,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio,0.1224
Quien da la magnetoterapia?,Aplicacio de la tecnica terapeutica magnetoterapia_limpio.txt,True,True,1,2.7875,Aplicacio de la tecnica terapeutica magnetoterapia_limpio,0.1399
Puedo dar magnetoterapia en un paciente con audífonos?,Aplicacio de la tecnica terapeutica magnetoterapia_limpio.txt,True,True,1,3.0900,Aplicacio de la tecnica terapeutica magnetoterapia_limpio,0.1585
