Query,Expected_Doc,Top1_Correct,Top5_Correct,Expected_Rank,Search_Time,Top1_Doc,Top1_Score,Keywords_Found,Total_Matches,Unique_Keywords
Cómo alto a un paciente paliativo con hospitalización a domicilio?,Abordatge del pacient en situacio de final de vida ingressat al Dispositiu dHospitalitzacio a Domicili HDOM_limpio.txt,True,True,1,0.0167,Abordatge del pacient en situacio de final de vida ingressat al Dispositiu dHospitalitzacio a Domicili HDOM_limpio,0.0000,0,0,0
Quien gestiona el ingreso al centro de atención intermedia en situación de final de vida?,Abordatge del pacient en situacio de final de vida ingressat al Dispositiu dHospitalitzacio a Domicili HDOM_limpio.txt,True,True,1,0.0219,Abordatge del pacient en situacio de final de vida ingressat al Dispositiu dHospitalitzacio a Domicili HDOM_limpio,5.8344,2,12,2
Que escalas debo pasar en la valoración integral de una paciente con patología oncológica ginecologi,Abordatge integral de la dona amb cancer ginecologic en tractament sistemic_limpio.txt,False,False,43,0.0365,Adequacio de lentorn a la unitat per afavorir el descans nocturn del pacient_limpio,9.6102,2,21,2
A quien debo hacer interconsulta en caso de paciente de onco gine?,Abordatge integral de la dona amb cancer ginecologic en tractament sistemic_limpio.txt,True,True,1,0.0221,Abordatge integral de la dona amb cancer ginecologic en tractament sistemic_limpio,1.7172,1,3,1
"Quien debe aprobar que se de una prestación fuera del siscat, de carácter excepcional?",Acces a lassistencia sanitaria per a convenis internacionals i prestacions de caracter excepcional CASCIPE_limpio.txt,False,False,6,0.0376,Adequacio de lentorn a la unitat per afavorir el descans nocturn del pacient_limpio,13.1776,3,29,3
Dame el link de acceso al CASCIPE,Acces a lassistencia sanitaria per a convenis internacionals i prestacions de caracter excepcional CASCIPE_limpio.txt,True,True,1,0.0100,Acces a lassistencia sanitaria per a convenis internacionals i prestacions de caracter excepcional CASCIPE_limpio,3.6217,1,7,1
Quien realiza la acogida en situación de pandemia?,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio.txt,False,False,10,0.0130,Abordatge del pacient en situacio de final de vida ingressat al Dispositiu dHospitalitzacio a Domicili HDOM_limpio,0.0000,0,0,0
Que variables clínicas se cogen en caso de acogida de paciente en pandemia?,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio.txt,False,False,13,0.0257,Alta infermeria_limpio,8.3031,1,18,1
Con quien debo coordinar la medicación a administrar cuando un paciente entra en el CDI?,Acollida i atencio integral al pacient en el CDI_limpio.txt,True,True,1,0.0282,Acollida i atencio integral al pacient en el CDI_limpio,4.1562,2,8,2
"En paciente con DAI en radiología, hay que llevar el desfribilador?",Acollida i atencio integral al pacient en el CDI_limpio.txt,False,False,13,0.0259,Alta infermeria_limpio,8.3031,1,18,1
